id_buah,nama_buah,nama_latin,desc_buah,vitamin_c,vitamin_a,zat_besi,protein_lemak,ketahanan_tubuh,penglihatan,anemia,gizi_buruk,kandungan_protein,kandungan_lemak,kandungan_karbohidrat,kandungan_energi,kandungan_zat_besi,kandungan_vitamin_a,kandungan_vitamin_c,kandungan_folat,kandungan_kalsium,kandungan_seng
fruits-11,Orange,Citrus sinensis,"Buah kaya dengan vitamin C, kalium, serat, antioksidan, dan enzim pembakar lemak. Kalium bermanfaat untuk mengatur tekanan darah dalam tubuh. Kandungan antioksidan berperan memperlambat penuaan, meindungi dari berbagai penyakit seperti jantung dan kanker. Jeruk juga kaya folat yang berguna untuk mencegah kecacatan otak dan penting selama masa kehamilan.",Tinggi,Kurang,Kurang,Kurang,Tinggi,Kurang,Kurang,Kurang,"0,9 g","0,2 g","11,2 g",45 kcal,"0,5 mg",8 mcg,49 mg,30 mcg,33 mg,"0,2 mg"
fruits-12,Papaya,Carica papaya,"Buah Pepaya banyak mengandung vitamin A, dengan mengkomsumsi buah pepaya bagus untuk penglihatan atau untuk kesehatan mata, selain itu buah Pepaya juga tinggi akan vitamin C, karena itu konsumsi buah pepaya baik untuk ketahanan tubuh. Buah Pepaya juga mengandung zat besi dalam jumlah sedang, dimana bagus untuk kesehatan darah dan sangat penting bagi perempuan. Tapi ibu hamil tidak dianjurkan untuk mengkonsumsi pepaya setiap hari.",Sangat tinggi,Sangat tinggi,Kurang,Kurang,Sangat tinggi,Sangat tinggi,Kurang,Kurang,"0,5 g",12 g,"12,2 g",46 kcal,"1,7 mg",102 mcg,78 mg,38 mcg,23 mg,"0,3 mg"
fruits-13,Pear,Pyrus communis,"Buah pir mengandung banyak serat dan anthocyanin yang dapat menurunkan risiko terkena diabetes, pada buah ini juga terdapat antioksidan yang membantu merilekskan otot jantung dan menurunkan kadar kolesterol jahat (LDL). Dengan demikian, antioksidan dalam buah pir dapat membantu mengurangi risiko munculnya penyakit jantung.Tak hanya itu, buah pir juga merupakan pilihan yang tepat bagi mereka yang ingin menjaga berat badan yang sehat. Meskipun mengandung gula alami, buah pir memiliki indeks glikemik rendah, sehingga membantu mengontrol nafsu makan dan menjaga berat badan yang sehat.
",tinggi,Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,0.36 g,0.14 g,15.23 g,57 kkal,0.17 mg,1 mcg,4.30 mg,"12,5 mcg",9 mg,0 mg
fruits-14,Pineapple,Ananas comosus,"Buah nenas banyak mengandung vitamin C sebagai anti-oksidan. Juga mengandung kalsium, fosfor, magnesium, kalium, dan enzim bromelain. Bromelain berkhasiat sebagai antiradang, membantu melunakkan makanan di lambung, dan menghambat pertumbuhan sel kanker. Kandungan serat buah nenas dapat mempermudah buang air besar pada penderita sembelit. Nenas juga bisa membantu menghilangkan nyeri otot dan sendi. Namun selama masa kehamilan konsumsinya harus dikurangi.",Medium,Kurang,Kurang,Kurang,Medium,Kurang,Kurang,Kurang,"0,6 g","0,3 g","9,9 g",40 kcal,"0,9 mg","5,2 mcg",22 mg,11 mcg,22 mg,"0,1 mg"
fruits-15,Rambutan,Nephellium lapppaceum,"Buahnya yang berwarna putih manis disukai anak-anak sampai orang dewasa. Kandungan antioksidan pada dagingnya sangat besar, sehingga baik untuk kesehatan dan pencegahan kanker. Buah ini juga kaya vitamin C sehingga dapat membantu menyeimbangkan kolestrol dan tekanan darah",Tinggi,Kurang,Kurang,Kurang,Tinggi,Kurang,Kurang,Kurang,"0,9 g","0,1 g","18,1 g",69 kcal,"0,5 mg",0 mcg,58 mg,11 mcg,16 mg,"0,1 mg"
fruits-16,Salak,Sallaca sumatrana,"Kandungan vitamin C pada buah salak meningkatkan kekebalan tubuh terhadap virus penyakit. Salak dapat mengobati sembelit. Selain itu, pada buah salak terdapat kandungan potasium yang dapat menjaga kesehatan jantung, terutama bagi mereka yang menyukai kopi, rokok, makanan berminyak, rentan terkena gangguan kardiovaskular. Serat dapat memberikan rasa kenyang lebih lama karena memerlukan waktu untuk diserap usus. Namun salak tidak diperuntukkan bagi penderita maag dan tipes. Salak biasa memiliki kandungan gizi yang sama dengan salak lokal, hanya saja salak biasa kandungan vintamin C nya rendah.",Tinggi,Kurang,Kurang,Kurang,Tingggi,Kurang,Kurang,Kurang,"0,4 g","0,2 g","12,8 g",55 kcal,"0,5 mg","0,3 mcg",58 mg,3 mcg,6 mg,"0,3 mg"
fruits-17,Sapodilla,Manilkara zapota ,"Sawo sebagai sumber energi karena rasanya manis, selain itu juga sumber vitamin C dan sedikit vitamin A. Vitamin C dan A yang terkandung pada buah sawo berperan penting sebagai penghalang radikal bebas. Kandungan kalium dan natrium buah sawo diperlukan untuk menjaga kesehatan jantung dan pembuluh darah. Tanin merupakan salah satu zat antioksidan polifenol yang terdapat dalam sawo yang bermanfaat sebagai anti radang, antivirus, anti bakteri dan anti-parasit",Medium,Kurang,Kurang,Kurang,Medium,Kurang,Kurang,Kurang,"0,5 g","1,1 g","22,4 g",92 kcal,1 mg,12 mcg,21 mg,4 mcg,25 mg,"0,1 mg"
fruits-18,Soursop,Annona muricata,"Selain kaya akan vitamin B dan vitamin C, buah srikaya kaya akan kandungan niasin sehingga manfaat buah srikaya juga dapat menurunkan kadar kolestrol dan menurunkun tekanan darah. Sirsak manfaatnya sebagai pengatur kadar gula dalam darah dan melawan bakteri dalam tubuh. Buah srikaya juga mengandung tinggi serat, maka dari itu buah srikaya baik dikonsumsi bagi penderita konstipasi karena buah yang kaya akan serat akan memperlancar saluran pencernaan. Daun sirsak bermanfaat untuk bahan pengobatan herbal dan menjaga kondisi tubuh tetap sehat. Daun sirsak mampu mengobati kanker.",Medium,Kurang,Kurang,Kurang,Medium,Kurang,Kurang,Kurang,1 g,"0,3 g","16,3 g",65 kcal,"0,6 mg",1 mcg,20 mg,3 mcg,14 mg,1 mg
fruits-19,Strawberry,Fragaria x ananassa,"Buah strawbery memiliki Vitamin C yang tinggi berperan dalam meningkatkan produksi hormon seks dan memperlancar aliran darah menuju organ intim. Jantung adalah organ utama sirkulasi darah, Kandungan lain seperti antianaemic dan reconstituent juga baik untuk menjaga stamina tubuh. Menurut American Cancer Society, vitamin C di dalam stroberi dapat menurunkan risiko kanker saluran pencernaan.",Tinggi,Kurang,Kurang,Kurang,Medium,Kurang,Kurang,Kurang,"0,6 g","0,3 g","7,68 g",32 kkal,"0,41 mg",1 mcg,"58,8 g",24 mcg,28 mg,0 mg
fruits-20,Watermelon,Citrullus lanatus,"Semangka mengandung vitamin A dalam jumlah yang sedang, selain vitamin A semangka tidak banyak mengandung zat gizi yang lain, karena mengandung banyak air semangka dapat mencegah dehidrasi dalam tubuh, semangka juga memiliki sedikit zat yang dapat melindungi antioksidan.",Kurang,Medium,Kurang,Kurang,Kurang,Medium,Kurang,Kurang,"0,5 g","0,2 g","6,9 g",28 kcal,"0,2 mg",51 mcg,6 mg,2 mcg,7 mg,"0,1 mg"
